Name,OfficialName,Registry,CountryofOperator,Operator,Users,Purpose,DetailedPurpose,ClassofOrbit,TypeofOrbit,DateofLaunch,ExpectedLifetime
"Galileo FOC FM11 (0211, Galileo 14, PRN E02)",Galileo FOC FM11,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,5/24/2016,12
"Galileo FOC FM12 (0212, Galileo 16)",Galileo FOC FM12,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,11/17/2016,12
"Galileo FOC FM13 (0213, Galileo 17)",Galileo FOC FM13,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,11/17/2016,12
"Galileo FOC FM14 (0214, Galileo 18)",Galileo FOC FM14,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,11/17/2016,12
"Galileo FOC FM15 (0215, Galileo 19)",Galileo FOC FM15,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,12/13/2017,12
"Galileo FOC FM16 (0216, Galileo 20)",Galileo FOC FM16,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,12/13/2017,12
"Galileo FOC FM17 (0217, Galileo 21)",Galileo FOC FM17,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,12/13/2017,12
"Galileo FOC FM18 (0218, Galileo 22)",Galileo FOC FM18,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,12/13/2017,12
"Galileo FOC FM19 (0219, Galileo 23)",Galileo FOC FM19,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,7/25/2018,12
"Galileo FOC FM2 (0202, Galileo 6, PRN E14)",Galileo FOC FM2,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,Elliptical,Non-Polar Inclined,8/22/2014,12
"Galileo FOC FM20 (0220, Galileo 24)",Galileo FOC FM20,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,7/25/2018,12
"Galileo FOC FM21 (0221, Galileo 25)",Galileo FOC FM21,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,7/25/2018,12
"Galileo FOC FM22 (0222, Galileo 26)",Galileo FOC FM22,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,7/25/2018,12
"Galileo FOC FM3 (0203, Galileo 7, PRN E26)",Galileo FOC FM3,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,3/27/2015,12
"Galileo FOC FM4 (0204, Galileo 8, PRN E22)",Galileo FOC FM4,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,3/27/2015,12
"Galileo FOC FM5 (0205, Galileo 9, PRN E24)",Galileo FOC FM5,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,9/11/2015,12
"Galileo FOC FM6 (0206, Galileo 10, PRN E30)",Galileo FOC FM6,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,9/11/2015,12
"Galileo FOC FM7 (0207, Galileo 15)",Galileo FOC FM7,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,11/17/2016,12
"Galileo FOC FM8 (0208, Galileo 11, PRN E08)",Galileo FOC FM8,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,12/17/2015,12
"Galileo FOC FM9 (0209, Galileo 12, E09)",Galileo FOC FM9,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,12/17/2015,12
"Galileo IOV-1 FM2 (0102, PRN E12)",Galileo IOV-1 FM2,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,10/21/2011,12
"Galileo IOV-1 PFM (0101, PRN E11)",Galileo IOV-1 PFM,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,10/21/2011,12
"Galileo IOV-2 FM3 (0103, PRN E19)",Galileo IOV-2 FM3,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,10/12/2012,12
"Galileo IOV-2 FM4 (0104, PRN E20)",Galileo IOV-2 FM4,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,10/12/2012,12
Gaofen 1,Gaofen 1,China,China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,4/26/2013,8
Gaofen 10,Gaofen 10,NR,China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,10/4/2019,8
Gaofen 11,Gaofen 11,China,China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,Elliptical,,7/31/2018,8
Gaofen 11-02,Gaofen 11-02,NR (12/20),China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,Elliptical,,9/7/2020,8
Gaofen 12,Gaofen 12,NR,China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,11/28/2019,8
Gaofen 13,Gaofen 13,NR (12/20),China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,GEO,,10/11/2020,8
Gaofen 14,Gaofen 14,NR (12/20),China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Stereo Imaging,LEO,Sun-Synchronous,12/6/2020,8
Gaofen 2,Gaofen 2,China,China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,8/19/2014,8
Gaofen 3,Gaofen 3,China,China,State Oceanic Administration (SOA),Government,Earth Observation,Radar Imaging,LEO,Polar,8/9/2016,8
Gaofen 4,Gaofen 4,China,China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,GEO,,12/28/2015,8
Gaofen 7,Gaofen 7,NR,China,Ministry of Natural Resources/Ministry of Housing and Urban-Rural Development/National Bureau of Statistics,Government,Earth Observation,Optical Imaging ,LEO,Sun-Synchronous,11/3/2019,
Gaofen 8,Gaofen 8,China,China,People's Liberation Army (C41),Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,6/26/2015,8
Gaofen 9,Gaofen 9,China,China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,9/14/2015,8
Gaofen 9-02,Gaofen 9-02,NR (12/20),China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,5/31/2020,8
Gaofen 9-03,Gaofen 9-03,NR (12/20),China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,6/17/2020,8
Gaofen 9-04,Gaofen 9-04,NR (12/20),China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,8/6/2020,8
Gaofen 9-05,Gaofen 9-05,NR (12/20),China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,8/23/2020,8
Gaofen Multi-Mode 1,Gaofen Multi-Mode 1,NR (12/20),China,"China's Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture",Government,Earth Observation,Multi-Spectral Imaging,LEO,Sun-Synchronous,7/3/2020,
Gaofen 1-02,Gaofen 1-02,China,China,"China’s Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture",Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,3/30/2018,8
Gaofen 1-03,Gaofen 1-03,China,China,"China’s Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture",Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,3/30/2018,8
Gaofen 1-04,Gaofen 1-04,China,China,"China’s Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture",Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,3/30/2018,8
Gaofen 1-05,Gaofen 1-05,China,China,"China’s Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture",Government,Earth Observation,Hyperspectral Imaging,LEO,Sun-Synchronous,5/8/2018,8
Gaofen 1-06,Gaofen 1-06,China,China,"China’s Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture",Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,6/3/2018,8
Garpun-1 (Cosmos 2473),Cosmos 2473,Russia,Russia,Ministry of Defense,Military,Communications,,GEO,,9/20/2011,
Garpun-12L (Cosmos 2513),Cosmos 2513,Russia,Russia,Ministry of Defense,Military,Communications,,GEO,,12/10/2015,
GATOSS (Global Air Traffic Awareness and Optimizing through Spaceborne Surveillance),GATOSS,NR,Denmark,GomSpace ApS,Commercial,Technology Development,,LEO,Sun-Synchronous,11/21/2013,
"GCOM-C (Global Change Observation Mission Climate, Shikisai)",GCOM-C,Japan,Japan,Japan Aerospace Exploration Agency (JAXA),Government,Earth Observation,,LEO,Sun-Synchronous,12/22/2017,5
GEARRSAT-2 (Globalstar Experiment And Risk Reduction Satellite),GEARRSAT-2,NR,USA,NearSpace Launch/Air Force Research Laboratory,Government,Technology Development,,LEO,Non-Polar Inclined,5/20/2015,
GECAM-A (Gravitational Wave High-energy Electromagnetic Counterpart All-sky Monitor),GECAM-A,NR (12/20),China,Chinese Academy of Sciences,Government,Space Science,,LEO,Non-Polar Inclined,12/9/2020,
GECAM-B (Gravitational Wave High-energy Electromagnetic Counterpart All-sky Monitor),GECAM-B,NR (12/20),China,Chinese Academy of Sciences,Government,Space Science,,LEO,Non-Polar Inclined,12/9/2020,
Genesis-1,Genesis-1,USA,USA,Bigelow Aerospace,Commercial,Technology Development,,LEO,Non-Polar Inclined,7/12/2006,5
Genesis-2,Genesis-2,USA,USA,Bigelow Aerospace,Commercial,Technology Development,,LEO,Non-Polar Inclined,6/28/2007,5
GEO IK2 12L (Cosmos 2517),Cosmos 2517,Russia,Russia,Ministry of Defense,Military,Earth Science,,LEO,Sun-Synchronous,6/5/2016,5
GEO IK2 13L (Cosmos 2540),Cosmos 2540,Russia,Russia,Ministry of Defense,Military,Earth Science,,LEO,Sun-Synchronous,8/30/2019,5
GeoEye-1 (Orbview 5),GeoEye-1,USA,USA,DigitalGlobe Corporation,Government/Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,9/6/2008,7
GEO-Kompsat-2A,GEO-Kompsat-2A,NR,South Korea,Korea Meteorological Administration/National Meteorological Satellite Center,Government,Earth Observation,Meteorology,GEO,,12/4/2018,10
GEO-Kompsat-2B,GEO-Kompsat-2B,South Korea,South Korea,Korea Meteorological Administration/National Meteorological Satellite Center,Government,Earth Observation,Meteorology,GEO,,2/18/2020,10
Geotail (Geomagnetic Tail Laboratory),Geomagnetic Tail Laboratory (Geotail),Japan,Multinational,Institute of Space and Astronautical Science (ISAS)/NASA/ESA,Government,Space Science,,Elliptical,Deep Highly Eccentric,7/24/1992,
GHGSat-C1 (Iris),GHGSat-C1,NR (12/20),Canada,"GHGSat, Inc.",Commercial,Earth Science,,LEO,Sun-Synchronous,9/2/2020,
"GHGSat-D (Greenhouse Gas Satellite - Demonstrator, Claire)",GHGSat-D,Canada,Canada,"GHGSat, Inc.",Commercial,Earth Science,,LEO,Sun-Synchronous,6/22/2016,
"Global Change Observation Mission - 1 Water (GCOM-1, Shikuzu)",GCOM-1,Japan,USA/Japan,Japan Aerospace Exploration Agency (JAXA),Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,5/17/2012,5
Globalstar M037 (Globalstar 16),Globalstar FM37,USA,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,3/15/1999,10
Globalstar M065 (Globalstar 65),Globalstar M065,USA,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,5/29/2007,10
Globalstar M066 (Globalstar 66),Globalstar M066,USA,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,10/20/2007,10
Globalstar M067 (Globalstar 67),Globalstar M067,USA,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,10/20/2007,10
Globalstar M069 (Globalstar 69),Globalstar M069,USA,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,5/29/2007,10
Globalstar M070 (Globalstar 70),Globalstar M070,USA,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,10/20/2007,10
Globalstar M071 (Globalstar 71),Globalstar M071,USA,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,5/29/2007,10
Globalstar M072 (Globalstar 72),Globalstar M072,USA,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,5/29/2007,10
"Globalstar M073 (Globalstar 73, Globalstar 2-6)",Globalstar M073,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,10/19/2010,15
"Globalstar M074 (Globalstar 74, Globalstar 2-2)",Globalstar M074,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,10/19/2010,15
"Globalstar M075 (Globalstar 75, Globalstar 2-5)",Globalstar M075,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,10/19/2010,15
"Globalstar M076 (Globalstar 76, Globalstar 2-3)",Globalstar M076,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,10/19/2010,15
"Globalstar M077 (Globalstar 77, Globalstar 2-4)",Globalstar M077,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,10/19/2010,15
"Globalstar M078 (Globalstar 95, Globalstar 2-23)",Globalstar M078,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,2/6/2013,15
"Globalstar M079 (Globalstar 79, Globalstar 2-1)",Globalstar M079,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,10/19/2010,15
"Globalstar M080 (Globalstar 80, Globalstar 2-14)",Globalstar M080,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,12/28/2011,15
"Globalstar M081 (Globalstar 81, Globalstar 2-11)",Globalstar M081,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,7/13/2011,15
"Globalstar M082 (Globalstar 82, Globalstar 2-15)",Globalstar M082,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,12/28/2011,15
"Globalstar M083 (Globalstar 83, Globalstar 2-7)",Globalstar M083,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,7/13/2011,15
"Globalstar M084 (Globalstar 84, Globalstar 2-13)",Globalstar M084,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,12/28/2011,15
"Globalstar M085 (Globalstar 85, Globalstar 2-10)",Globalstar M085,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,7/13/2011,15
"Globalstar M086 (Globalstar 86, Globalstar 2-18)",Globalstar M086,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,12/28/2011,15
"Globalstar M088 (Globalstar 88, Globalstar 2-8)",Globalstar M088,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,7/13/2011,15
"Globalstar M089 (Globalstar 89, Globalstar 2-12)",Globalstar M089,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,7/13/2011,15
"Globalstar M090 (Globalstar 90, Globalstar 2-17)",Globalstar M090,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,12/28/2011,15
"Globalstar M091 (Globalstar 91, Globalstar 2-9)",Globalstar M091,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,7/13/2011,15
"Globalstar M092 (Globalstar 92, Globalstar 2-16)",Globalstar M092,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,12/28/2011,15
"Globalstar M093 (Globalstar 87, Globalstar 2-20)",Globalstar M093,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,2/6/2013,15
"Globalstar M094 (Globalstar 93, Globalstar 2-21)",Globalstar M094,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,2/6/2013,15
"Globalstar M095 (Globalstar 96, Globalstar 2-24)",Globalstar M095,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,2/6/2013,15
"Globalstar M096 (Globalstar 94, Globalstar 2-22)",Globalstar M096,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,2/6/2013,15
"Globalstar M097 (Globalstar 78, Globalstar 2-19)",Globalstar M097,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,2/6/2013,15
"Glonass 701 (Glonass-K, Cosmos 2471)",Cosmos 2471,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,2/26/2011,10
"Glonass 702 (Glonass K, Cosmos 2501)",Cosmos 2501,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,12/1/2014,10
"Glonass 705 (Glonass M, Cosmos 2547)",Cosmos 2547,NR (12/20),Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,10/25/2020,7
"Glonass 716 (Glonass 35-2, Cosmos 2425)",Cosmos 2425,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,12/25/2006,7
"Glonass 717 (Glonass 35-3, Cosmos 2426)",Cosmos 2426,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,12/25/2006,7
"Glonass 719 (Glonass 36-2, Cosmos 2432)",Cosmos 2432,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,10/26/2007,7
"Glonass 720 (Glonass 36-3, Cosmos 2433)",Cosmos 2433,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,10/26/2007,7
"Glonass 721 (Glonass 37-1, Cosmos 2435)",Cosmos 2434,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,12/25/2007,7
"Glonass 723 (Glonass 37-3, Cosmos 2436)",Cosmos 2436,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,12/25/2007,7
"Glonass 730 (Glonass 41-1, Cosmos 2456)",Cosmos 2456,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,12/14/2009,7
"Glonass 731 (Glonass 42-1, Cosmos 2459)",Cosmos 2459,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,3/1/2010,7
"Glonass 732 (Glonass 42-3, Cosmos 2460)",Cosmos 2460,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,3/1/2010,7
"Glonass 733 (Glonass 41-2, Cosmos 2457)",Cosmos 2457,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,12/14/2009,7
"Glonass 735 (Glonass 42-2, Cosmos 2461)",Cosmos 2461,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,3/1/2010,7
"Glonass 736 (Glonass 43-1, Cosmos 2464)",Cosmos 2464,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,9/2/2010,7
"Glonass 742 (Glonass-M, Cosmos 2474)",Cosmos 2474,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,10/2/2011,7
"Glonass 743 (Glonass 44-2, Cosmos 2476)",Cosmos 2476,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,11/4/2011,7
"Glonass 744 (Glonass 44-3, Cosmos 2477)",Cosmos 2477,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,11/4/2011,7
"Glonass 745 (Glonass 44-1, Cosmos 2475)",Cosmos 2475,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,11/4/2011,7
"Glonass 747 (Glonass-M, Cosmos 2485)",Cosmos 2485,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,4/26/2013,7
"Glonass 751 (Glonass-M, Cosmos 2514)",Cosmos 2514,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,2/7/2016,7
"Glonass 752 (Glomass-M, Cosmos 2522)",Cosmos 2522,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,9/22/2017,7
"Glonass 753 (Glonass-M, Cosmos 2516)",Cosmos 2516,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,5/29/2016,7
"Glonass 755 (Glonass-M, Cosmos 2500)",Cosmos 2500,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,6/14/2014,7
"Glonass 756 (Glonass-M, Cosmos 2527)",Cosmos 2527,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,6/18/2018,7
"Glonass 757 (Glonass-M, Cosmos 2529)",Cosmos 2529,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,11/3/2018,7
"Glonass 758 (Glonass-M, Cosmos 2534)",Cosmos 2534,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,5/27/2019,7
"Glonass 759 (Glonass-M, Cosmos 2544)",Cosmos 2544,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,12/11/2019,7
"Glonass 760 (Glonass-M, Cosmos 2545)",Cosmos 2545,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,2/16/2020,7
GNOMES-1 (GNSS Navigation and Occultation Measurement Satellites),GNOMES-1,NR (12/20),USA,PlanetiQ,Commercial,Earth Science,,LEO,Sun-Synchronous,8/30/2020,
"GOES 13 (Geostationary Operational Environmental Satellite, GOES-N)",GOES-13,USA,USA,US Air Force,Military,Earth Observation,Earth Science/Meterology,GEO,,5/24/2006,7
"GOES 14 (Geostationary Operational Environmental Satellite, GOES-O)",GOES-14,USA,USA,NOAA (National Oceanographic and Atmospheric Administration),Government,Earth Observation,Earth Science/Meterology,GEO,,6/27/2009,10
"GOES 15 (Geostationary Operational Ennvironmental Satellite, GOES-P)",GOES-15,USA,USA,NOAA (National Oceanographic and Atmospheric Administration),Government,Earth Observation,Earth Science/Meterology,GEO,,3/4/2010,10
GOES 16 (Geostationary Operational Environmental Satellite GOES-R),GOES-R,USA,USA,NOAA (National Oceanographic and Atmospheric Administration),Government,Earth Observation,Earth Science/Meterology,GEO,,11/19/2016,20
GOES 17 (Geostationary Operational Environmental Satellite GOES-S),GOES-S,USA,USA,NOAA (National Oceanographic and Atmospheric Administration),Government,Earth Observation,Earth Science/Meterology,GEO,,3/1/2018,15
Göktürk 1,Göktürk 1,NR,Turkey,Turkish Ministry of National Defense,Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,12/5/2016,7
Göktürk 2,Göktürk 2,NR,Turkey,Turkish Ministry of National Defense,Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,12/18/2012,5
GomX-4A,GomX-4A,Denmark,Denmark,GomSpace ApS,Military,Earth Observation,,LEO,Sun-Synchronous,2/2/2018,
GomX-4B,GomX-4B,Denmark,Denmark,GomSpace ApS,Government,Technology Development,,LEO,Sun-Synchronous,2/2/2018,
Gonets M-11 (Gonets M21),Gonets M-11,Russia,Russia,Gonets Satcom,Commercial,Communications,,LEO,Polar,3/31/2015,7
Gonets M-12 (Gonets M22),Gonets M-12,Russia,Russia,Gonets Satcom,Commercial,Communications,,LEO,Polar,3/31/2015,7
Gonets M-13 (Gonets M23),Gonets M-13,Russia,Russia,Gonets Satcom,Commercial,Communications,,LEO,Polar,3/31/2015,7
Gonets M-14,Gonets M-14,Russia,Russia,Gonets Satcom,Commercial,Communications,,LEO,Polar,9/11/2013,7
Gonets M-16,Gonets M-16,Russia,Russia,Gonets Satcom,Commercial,Communications,,LEO,Polar,9/11/2013,7
Gonets M-17,Gonets M-17,Russia,Russia,Gonets Satcom,Commercial,Communications,,LEO,Polar,9/11/2013,7
Gonets M-18,Gonets M-18,Russia,Russia,Gonets Satcom,Commercial,Communications,,LEO,Polar,7/3/2014,7
Gonets M-19,Gonets M-19,Russia,Russia,Gonets Satcom,Commercial,Communications,,LEO,Polar,7/3/2014,7
Gonets M-20,Gonets M-20,Russia,Russia,Gonets Satcom,Commercial,Communications,,LEO,Polar,7/3/2014,7
Gonets M-24,Gonets-M-24,Russia,Russia,Gonets Satcom,Commercial,Communications,,LEO,Polar,12/26/2019,7
Gonets M-25,Gonets M-25,Russia,Russia,Gonets Satcom,Commercial,Communications,,LEO,Polar,12/26/2019,7
Gonets M-26,Gonets M-26,Russia,Russia,Gonets Satcom,Commercial,Communications,,LEO,Polar,12/26/2019,7
Gonets M-27,Gonets M-27,Russia,Russia,Gonets Satcom,Commercial,Communications,,LEO,Polar,9/28/2020,7
Gonets M-28,Gonets M-28,Russia,Russia,Gonets Satcom,Commercial,Communications,,LEO,Polar,9/28/2020,7
Gonets M-29,Gonets M-29,Russia,Russia,Gonets Satcom,Commercial,Communications,,LEO,Polar,9/28/2020,7
Gonets M-30,Gonets M-30,NR (12/20),Russia,Gonets Satcom,Commercial,Communications,,LEO,Polar,12/3/2020,7
Gonets M-31,Gonets M-31,NR (12/20),Russia,Gonets Satcom,Commercial,Communications,,LEO,Polar,12/3/2020,7
Gonets M-32,Gonets M-32,NR (12/20),Russia,Gonets Satcom,Commercial,Communications,,LEO,Polar,12/3/2020,7
GOSAT-2 (Greenhouse gases Observing Satellite-2; Ibuki-2),GOSAT-2,Japan,Japan,"JAXA, Ministry of Environment, National Institute of Environmental Studies",Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,10/29/2018,5
GovSat-1 (SES-16),GovSat-1,Luxembourg,Luxembourg,LuxGovSat,Government/Military,Communications,,GEO,,1/31/2018,15
GPM Core Observatory (Global Precipitation Measurement),GPM Core Observatory,NR,USA/Japan,National Aeronautics and Space Administration (NASA)/JAXA,Government,Earth Observation,Earth Science,LEO,Non-Polar Inclined,2/27/2014,
Grace Follow-on-1 (Gravity Recovery and Climate Experiment Follow-on-1),Grace Follow-on-1,USA,USA/Germany,NASA/German Research Centre for Geosciences (GFZ),Government,Earth Observation,Earth Science,LEO,Polar,5/22/2018,5
Grace Follow-on-2 (Gravity Recovery and Climate Experiment Follow-on-2),Grace Follow-on-2,USA,USA/Germany,NASA/German Research Centre for Geosciences (GFZ),Government,Earth Observation,Earth Science,LEO,Polar,5/22/2018,5
